year,state,forest_cover_percentage,deforestation_rate
2012,Johor,50.85459734185724,1.9614069689273002
2013,Johor,49.635388192949456,1.2192091489077863
2014,Johor,47.25760338166399,2.3777848112854665
2015,Johor,45.74804405998478,1.509559321679218
2016,Johor,43.68514531895359,2.062898741031188
2017,Johor,41.63495920710861,2.050186111844979
2018,Johor,40.1252952547365,1.5096639523721085
2019,Johor,38.75243593331886,1.3728593214176412
2020,Johor,37.749289165230174,1.003146768088685
2021,Johor,36.832462718776235,0.9168264464539351
2022,Johor,36.174440291187224,0.6580224275890211
2023,Johor,35.186883496339235,0.9875567948479846
2001,Kedah,99.59959528760112,0.4004047123988876
2002,Kedah,98.53979934586205,1.0597959417390657
2003,Kedah,98.06500824239036,0.47479110347168013
2004,Kedah,97.30233760284601,0.7626706395443519
2005,Kedah,96.48976083934745,0.8125767634985558
2006,Kedah,95.62118415149608,0.8685766878513785
2007,Kedah,94.97923379915885,0.6419503523372352
2008,Kedah,93.93215078583759,1.0470830133212579
2009,Kedah,93.05527392158119,0.8768768642563936
2010,Kedah,91.67754970387281,1.377724217708374
2011,Kedah,90.86203110569907,0.8155185981737512
2012,Kedah,89.8885990247818,0.973432080917264
2013,Kedah,89.03494164135462,0.8536573834271745
2014,Kedah,87.19188221734485,1.8430594240097835
2015,Kedah,85.67494618018527,1.5169360371595746
2016,Kedah,83.96111735083585,1.7138288293494237
2017,Kedah,82.08580281092304,1.8753145399128166
2018,Kedah,80.34991022150965,1.7358925894133876
2019,Kedah,78.88697786374472,1.46293235776492
2020,Kedah,77.67819900881184,1.2087788549328788
2021,Kedah,76.60569013865496,1.0725088701568732
2022,Kedah,75.76936856670663,0.8363215719483456
2023,Kedah,74.58485984784411,1.1845087188625185
2001,Kedah,72.52042736452589,0.38569553902291165
2002,Kedah,71.47176836834291,1.0486589961829695
2003,Kedah,71.00033936164289,0.4714290067000285
2004,Kedah,70.2463891606,0.7539502010428804
2005,Kedah,69.44358349084406,0.8028056697559433
2006,Kedah,68.57920942395725,0.8643740668868141
2007,Kedah,67.93967557867464,0.6395338452826105
2008,Kedah,66.89763571051085,1.0420398681637804
2009,Kedah,66.02506653274315,0.8725691777677149
2010,Kedah,64.65028414970998,1.3747823830331787
2011,Kedah,63.84022895879015,0.810055190919817
2012,Kedah,62.898526666155355,0.9417022926348017
2013,Kedah,62.11662903569811,0.7818976304572347
2014,Kedah,60.44398589180142,1.672643143896691
2015,Kedah,59.01835179509701,1.4256340967044097
2016,Kedah,57.42660910476819,1.5917426903288234
2017,Kedah,55.71551197904573,1.7110971257224568
2018,Kedah,54.21212939449688,1.503382584548854
2019,Kedah,52.94493410815655,1.2671952863403262
2020,Kedah,51.99272526311034,0.9522088450462131
2021,Kedah,51.179097844370645,0.813627418739697
2022,Kedah,50.55900112104914,0.6200967233214995
2023,Kedah,49.73770391904912,0.8212972020000273
2001,Kedah,71.89203046479938,0.3836992940647435
2002,Kedah,70.8456829101469,1.046347554652459
2003,Kedah,70.37498936211568,0.47069354803122965
2004,Kedah,69.62272020945863,0.7522691526570545
2005,Kedah,68.82201585018497,0.800704359273661
2006,Kedah,67.95858737301518,0.863428477169787
2007,Kedah,67.31947378982903,0.6391135831861541
2008,Kedah,66.27827444585816,1.0411993439708673
2009,Kedah,65.40675592333159,0.8715185225265737
2010,Kedah,64.03281406449132,1.3739418588402659
2011,Kedah,63.22328420119207,0.8095298632992467
2012,Kedah,62.28294776037075,0.9403364408213183
2013,Kedah,61.50472742325751,0.7782203371132407
2014,Kedah,59.84206550415166,1.6626619191058505
2015,Kedah,58.42105429050828,1.4210112136433888
2016,Kedah,56.837191514488005,1.5838627760202653
2017,Kedah,55.13355404097765,1.7036374735103548
2018,Kedah,53.641623598557246,1.4919304424204156
2019,Kedah,52.3861956509177,1.2554279476395453
2020,Kedah,51.44564907904815,0.9405465718695464
2021,Kedah,50.64326367138866,0.8023854076594868
2022,Kedah,50.032832976285654,0.6104306951030011
2023,Kedah,49.22740066842686,0.8054323078587962
2001,Kedah,71.4448715941697,0.3806523938654342
2002,Kedah,70.40251652943358,1.0423550647361228
2003,Kedah,69.93329389873995,0.46922263069363207
2004,Kedah,69.18428177733044,0.749012121409517
2005,Kedah,68.38672938378019,0.7975523935502375
2006,Kedah,67.52466675842389,0.8620626253563034
2007,Kedah,66.88628863390653,0.6383781245173552
2008,Kedah,65.84635007622504,1.039938557681498
2009,Kedah,64.97577714341548,0.8705729328095466
2010,Kedah,63.60267580876814,1.3731013346473528
2011,Kedah,62.79356620756534,0.8091096012027902
2012,Kedah,61.85459561855752,0.9389705890078348
2013,Kedah,61.07931711611947,0.7752785024380455
2014,Kedah,59.42379965265337,1.6555174634660905
2015,Kedah,58.008251846263924,1.4155478063894549
2016,Kedah,56.43132339483519,1.5769284514287336
2017,Kedah,54.734935442488705,1.6963879523464807
2018,Kedah,53.25330142143147,1.4816340210572325
2019,Kedah,52.00774963305865,1.2455517883728187
2020,Kedah,51.07686908940761,0.930880543651048
2021,Kedah,50.2840446444425,0.7928244449651025
2022,Kedah,49.68191412574452,0.602130518697986
2023,Kedah,48.88982513944822,0.7920889862963036
2001,Kedah,71.20500700261718,0.3793916075760648
