YEAR,ANNUAL RAINFALL,FLOOD
2010,3943.02,0
2000,3026.54,0
2001,2875.14,0
2002,3105.54,0
2003,3479.12,0
2004,3521.94,0
2005,2793.2,0
2006,2934.99,0
2007,3755.32,0
2008,4425.03,1
2009,3854.0,1
2010,3272.61,0
2000,3297.01,0
2001,3159.68,1
2002,3535.96,1
2003,4008.65,0
2004,4164.84,0
2005,3249.03,0
2006,3132.74,0
2007,4003.63,1
2008,4503.1,1
2009,4309.56,1
2010,3631.31,0
2000,3411.21,0
2001,3254.3,0
2002,3659.57,0
2003,4134.21,0
2004,4186.11,0
2005,3358.38,0
2006,3176.21,0
2007,4064.76,0
2008,4302.39,0
2009,4246.08,1
2010,3883.43,0
2000,3423.21,0
2001,3289.29,0
2002,3641.73,0
2003,4091.21,0
2004,4018.89,0
2005,3357.33,0
2006,3175.54,0
2007,4126.29,0
2008,4017.33,0
2009,3992.86,1
2010,4103.75,0
2000,3423.21,0
2001,3289.29,0
2002,3641.73,0
2003,4091.21,0
2004,4018.89,0
2005,3357.33,0
2006,3175.54,0
2007,4126.29,1
2008,4017.33,0
2009,3992.86,0
2010,4103.75,0
2000,3137.11,0
2001,3036.55,1
2002,3222.61,1
2003,3758.23,1
2004,3637.68,0
2005,2960.74,0
2006,3101.68,1
2007,3816.78,1
2008,3878.95,1
2009,3553.69,1
2010,3672.85,0
