STATE,DISTRICT,YEAR,FLOOD
111,111004,2007,0
111,111004,2008,0
111,111004,2009,0
111,111004,2010,0
111,111005,2000,0
111,111005,2001,1
111,111005,2002,0
111,111005,2003,1
111,111005,2004,0
111,111005,2005,0
111,111005,2006,0
111,111005,2007,0
111,111005,2008,1
111,111005,2009,1
111,111005,2010,1
111,111006,2000,0
111,111006,2001,1
111,111006,2002,0
111,111006,2003,1
111,111006,2004,0
111,111006,2005,0
111,111006,2006,0
111,111006,2007,0
111,111006,2008,1
111,111006,2009,1
111,111006,2010,1
111,111007,2000,0
111,111007,2001,1
111,111007,2002,1
111,111007,2003,1
111,111007,2004,0
111,111007,2005,0
111,111007,2006,0
111,111007,2007,0
111,111007,2008,1
111,111007,2009,1
111,111007,2010,1
103,103001,2000,0
103,103001,2001,0
103,103001,2002,1
103,103001,2003,0
103,103001,2004,1
103,103001,2005,0
103,103001,2006,1
103,103001,2007,0
103,103001,2008,0
103,103001,2009,1
103,103001,2010,0
103,103002,2000,0
103,103002,2001,0
103,103002,2002,0
103,103002,2003,0
103,103002,2004,0
103,103002,2005,0
103,103002,2006,0
103,103002,2007,0
103,103002,2008,0
103,103002,2009,1
103,103002,2010,0
103,103003,2000,0
103,103003,2001,1
103,103003,2002,1
103,103003,2003,1
103,103003,2004,1
103,103003,2005,1
103,103003,2006,1
103,103003,2007,1
103,103003,2008,1
103,103003,2009,1
103,103003,2010,0
103,103004,2000,0
103,103004,2001,1
103,103004,2002,1
103,103004,2003,1
103,103004,2004,0
103,103004,2005,1
103,103004,2006,1
103,103004,2007,1
103,103004,2008,1
103,103004,2009,0
103,103004,2010,0
112,112001,2000,0
112,112001,2001,0
112,112001,2002,0
112,112001,2003,0
112,112001,2004,0
112,112001,2005,0
112,112001,2006,0
112,112001,2007,0
112,112001,2008,0
112,112001,2009,0
112,112001,2010,1
112,112002,2000,0
112,112002,2001,0
112,112002,2002,0
112,112002,2003,0
112,112002,2004,1
112,112002,2005,0
112,112002,2006,0
112,112002,2007,1
112,112002,2008,0
112,112002,2009,1
112,112002,2010,1
112,112003,2000,0
112,112003,2001,0
112,112003,2002,0
112,112003,2003,1
112,112003,2004,0
112,112003,2005,0
112,112003,2006,1
112,112003,2007,0
112,112003,2008,0
112,112003,2009,0
112,112003,2010,1
112,112004,2000,0
112,112004,2001,0
112,112004,2002,0
112,112004,2003,1
112,112004,2004,1
112,112004,2005,1
112,112004,2006,1
112,112004,2007,0
112,112004,2008,0
112,112004,2009,1
112,112004,2010,1
112,112005,2000,0
112,112005,2001,1
112,112005,2002,0
112,112005,2003,0
112,112005,2004,0
112,112005,2005,0
112,112005,2006,1
112,112005,2007,0
112,112005,2008,0
112,112005,2009,0
112,112005,2010,0
112,112006,2000,0
112,112006,2001,0
112,112006,2002,0
112,112006,2003,1
112,112006,2004,0
112,112006,2005,0
112,112006,2006,0
112,112006,2007,1
112,112006,2008,0
112,112006,2009,1
112,112006,2010,0
112,112007,2000,0
112,112007,2001,0
112,112007,2002,1
112,112007,2003,1
112,112007,2004,1
112,112007,2005,0
112,112007,2006,1
112,112007,2007,1
112,112007,2008,1
112,112007,2009,1
112,112007,2010,0
112,112008,2000,0
112,112008,2001,0
112,112008,2002,0
112,112008,2003,0
112,112008,2004,0
112,112008,2005,0
112,112008,2006,1
112,112008,2007,1
112,112008,2008,1
112,112008,2009,1
112,112008,2010,1
112,112009,2000,0
112,112009,2001,0
112,112009,2002,0
112,112009,2003,0
112,112009,2004,0
112,112009,2005,1
112,112009,2006,1
112,112009,2007,0
112,112009,2008,0
112,112009,2009,0
112,112009,2010,1
112,112010,2000,0
112,112010,2001,0
112,112010,2002,0
112,112010,2003,0
112,112010,2004,0
112,112010,2005,0
112,112010,2006,0
112,112010,2007,0
112,112010,2008,0
112,112010,2009,0
112,112010,2010,1
112,112011,2000,0
112,112011,2001,1
112,112011,2002,0
112,112011,2003,0
112,112011,2004,0
112,112011,2005,0
112,112011,2006,1
112,112011,2007,0
112,112011,2008,0
112,112011,2009,0
112,112011,2010,1
112,112012,2000,0
112,112012,2001,1
112,112012,2002,1
112,112012,2003,0
112,112012,2004,1
112,112012,2005,0
112,112012,2006,1
112,112012,2007,0
112,112012,2008,0
112,112012,2009,0
112,112012,2010,0
112,112013,2000,0
112,112013,2001,1
112,112013,2002,1
112,112013,2003,1
112,112013,2004,0
112,112013,2005,0
112,112013,2006,1
112,112013,2007,1
112,112013,2008,1
112,112013,2009,1
112,112013,2010,1
112,112014,2000,0
112,112014,2001,0
112,112014,2002,1
112,112014,2003,0
112,112014,2004,0
112,112014,2005,0
112,112014,2006,0
112,112014,2007,0
112,112014,2008,0
112,112014,2009,0
112,112014,2010,0
113,113001,2000,0
113,113001,2001,0
113,113001,2002,0
113,113001,2003,0
113,113001,2004,0
113,113001,2005,0
113,113001,2006,0
113,113001,2007,1
113,113001,2008,1
113,113001,2009,0
113,113001,2010,0
113,113002,2000,0
113,113002,2001,1
113,113002,2002,1
113,113002,2003,0
113,113002,2004,0
113,113002,2005,0
113,113002,2006,0
113,113002,2007,1
113,113002,2008,1
113,113002,2009,1
113,113002,2010,0
113,113003,2000,0
113,113003,2001,1
113,113003,2002,0
113,113003,2003,0
113,113003,2004,0
113,113003,2005,0
113,113003,2006,0
113,113003,2007,0
113,113003,2008,1
113,113003,2009,1
113,113003,2010,0
113,113003,2000,0
113,113003,2001,1
113,113003,2002,0
113,113003,2003,0
113,113003,2004,0
113,113003,2005,0
113,113003,2006,0
113,113003,2007,0
113,113003,2008,1
113,113003,2009,1
113,113003,2010,0
113,113004,2000,0
113,113004,2001,0
113,113004,2002,0
113,113004,2003,0
113,113004,2004,0
113,113004,2005,0
113,113004,2006,0
113,113004,2007,0
113,113004,2008,0
113,113004,2009,0
113,113004,2010,0
113,113005,2000,0
113,113005,2001,0
113,113005,2002,0
113,113005,2003,0
113,113005,2004,0
113,113005,2005,0
113,113005,2006,0
113,113005,2007,0
113,113005,2008,0
113,113005,2009,1
113,113005,2010,0
113,113006,2000,0
113,113006,2001,0
113,113006,2002,0
113,113006,2003,0
113,113006,2004,0
113,113006,2005,0
113,113006,2006,0
113,113006,2007,0
113,113006,2008,1
113,113006,2009,0
113,113006,2010,0
113,113007,2000,0
113,113007,2001,0
113,113007,2002,0
113,113007,2003,0
113,113007,2004,0
113,113007,2005,0
113,113007,2006,0
113,113007,2007,0
113,113007,2008,1
113,113007,2009,1
113,113007,2010,0
113,113008,2000,0
113,113008,2001,0
113,113008,2002,0
113,113008,2003,0
113,113008,2004,0
113,113008,2005,0
113,113008,2006,0
113,113008,2007,0
113,113008,2008,1
113,113008,2009,1
113,113008,2010,0
113,113009,2000,0
113,113009,2001,1
113,113009,2002,1
113,113009,2003,0
113,113009,2004,0
113,113009,2005,0
113,113009,2006,0
113,113009,2007,1
113,113009,2008,1
113,113009,2009,1
113,113009,2010,0
113,113010,2000,0
113,113010,2001,0
113,113010,2002,0
113,113010,2003,0
113,113010,2004,0
113,113010,2005,0
113,113010,2006,0
113,113010,2007,0
113,113010,2008,0
113,113010,2009,1
113,113010,2010,0
113,113011,2000,0
113,113011,2001,0
113,113011,2002,0
113,113011,2003,0
113,113011,2004,0
113,113011,2005,0
113,113011,2006,0
113,113011,2007,0
113,113011,2008,0
113,113011,2009,1
113,113011,2010,0
113,113012,2000,0
113,113012,2001,0
113,113012,2002,0
113,113012,2003,0
113,113012,2004,0
113,113012,2005,0
113,113012,2006,0
113,113012,2007,1
113,113012,2008,0
113,113012,2009,0
113,113012,2010,0
113,113013,2000,0
113,113013,2001,1
113,113013,2002,1
113,113013,2003,1
113,113013,2004,0
113,113013,2005,0
113,113013,2006,1
113,113013,2007,1
113,113013,2008,1
113,113013,2009,1
113,113013,2010,0
