YEAR,STATE,forest_cover_percentage,deforestation_rate,flood_occurrences,TOTAL_RAINFALL,ANNUAL RAINFALL,has_flood_data
2008.0,Sabah,84.09490604497421,1.1404362751355075,3.0,3117.3657142857146,3117.365714285714,True
2008.0,Sabah,83.82184918769994,1.1397309121658972,3.0,3117.3657142857146,3117.365714285714,True
2008.0,Sabah,83.67168826320783,1.139541006751002,3.0,3117.3657142857146,3117.365714285714,True
2008.0,Sabah,83.32089226787896,1.1390255491962864,3.0,3117.3657142857146,3117.365714285714,True
2008.0,Sabah,82.03667046432281,1.1347662420336375,3.0,3117.3657142857146,3117.365714285714,True
2008.0,Sabah,76.63603175815382,1.1009495135098035,3.0,3117.3657142857146,3117.365714285714,True
2009.0,Sabah,91.32484935413846,1.2529552334609,6.0,2828.9985714285713,2829.0042857142857,True
2009.0,Sabah,83.20917362523062,1.2468240014942844,6.0,2828.9985714285713,2829.0042857142857,True
2009.0,Sabah,82.84870601841459,1.2462000265596287,6.0,2828.9985714285713,2829.0042857142857,True
2009.0,Sabah,82.57632739476493,1.245521792935003,6.0,2828.9985714285713,2829.0042857142857,True
2009.0,Sabah,82.42641063437767,1.2452776288301377,6.0,2828.9985714285713,2829.0042857142857,True
2009.0,Sabah,82.07606227324106,1.244829994637885,6.0,2828.9985714285713,2829.0042857142857,True
2009.0,Sabah,80.79650671702234,1.2401637473004603,6.0,2828.9985714285713,2829.0042857142857,True
2009.0,Sabah,75.43119041802386,1.2048413401299578,6.0,2828.9985714285713,2829.0042857142857,True
2010.0,Sabah,89.91153256247108,1.4133167916673846,9.0,2764.319285714286,2764.3214285714284,True
2010.0,Sabah,81.7991801783239,1.409993446906719,9.0,2764.319285714286,2764.3214285714284,True
2010.0,Sabah,81.43913307635513,1.409572942059451,9.0,2764.319285714286,2764.3214285714284,True
2010.0,Sabah,81.16716139288026,1.4091660018846757,9.0,2764.319285714286,2764.3214285714284,True
2010.0,Sabah,81.0174209732354,1.408989661142273,9.0,2764.319285714286,2764.3214285714284,True
2010.0,Sabah,80.66750668161855,1.4085555916225123,9.0,2764.319285714286,2764.3214285714284,True
2010.0,Sabah,79.39185775107768,1.4046489659446688,9.0,2764.319285714286,2764.3214285714284,True
2010.0,Sabah,74.05816070365925,1.373029714364622,9.0,2764.319285714286,2764.3214285714284,True
2011.0,Sabah,88.97879855254092,0.932734009930154,0.0,,,False
2011.0,Sabah,80.87006793594924,0.9291122423746532,0.0,,,False
2011.0,Sabah,80.51037351546529,0.928759560889848,0.0,,,False
2011.0,Sabah,80.23886303085516,0.9282983620251026,0.0,,,False
2011.0,Sabah,80.08929895195271,0.9281220212827,0.0,,,False
2011.0,Sabah,79.73979160051063,0.9277150811079246,0.0,,,False
2011.0,Sabah,78.4671268979181,0.9247308531595716,0.0,,,False
2011.0,Sabah,73.15395319998085,0.9042075036784,0.0,,,False
2012.0,Sabah,87.53836598056101,1.4404325719799171,0.0,,,False
2012.0,Sabah,79.44861234078635,1.421455595162892,0.0,,,False
2012.0,Sabah,79.09030151689663,1.4200719985686556,0.0,,,False
2012.0,Sabah,78.82007967617328,1.4187833546818671,0.0,,,False
2012.0,Sabah,78.67118026622298,1.418118685729734,0.0,,,False
2012.0,Sabah,78.3231243347376,1.416667265773035,0.0,,,False
2012.0,Sabah,77.0583678362082,1.4087590617099002,0.0,,,False
2012.0,Sabah,71.7864307426482,1.367522457332662,0.0,,,False
2013.0,Sabah,86.6057404880108,0.932625492550214,0.0,,,False
2013.0,Sabah,78.55415783663007,0.8944545041562835,0.0,,,False
2013.0,Sabah,78.19796310164918,0.8923384152474515,0.0,,,False
2013.0,Sabah,77.92954536236734,0.8905343138059473,0.0,,,False
2013.0,Sabah,77.78174469088893,0.8894355753340537,0.0,,,False
2013.0,Sabah,77.43600831839976,0.8871160163378342,0.0,,,False
2013.0,Sabah,76.18213068720937,0.876237148998839,0.0,,,False
2013.0,Sabah,70.96688035999556,0.8195503826526287,0.0,,,False
2014.0,Sabah,84.61909924877487,1.986641239235924,0.0,,,False
2014.0,Sabah,76.67214091632889,1.8820169203011736,0.0,,,False
2014.0,Sabah,76.32177899051979,1.876184111129393,0.0,,,False
2014.0,Sabah,76.05806819259284,1.871477169774492,0.0,,,False
2014.0,Sabah,75.91312966701035,1.8686150238785717,0.0,,,False
2014.0,Sabah,75.57393146666259,1.86207685173718,0.0,,,False
2014.0,Sabah,74.34664059355751,1.8354900936518557,0.0,,,False
